Time [s],Ch1 Current [A]
5.610000E-8,1.471099E+1
5.620000E-8,1.466838E+1
5.630000E-8,1.462558E+1
5.640000E-8,1.458264E+1
5.650000E-8,1.453956E+1
5.660000E-8,1.449639E+1
5.670000E-8,1.445313E+1
5.680000E-8,1.440983E+1
5.690000E-8,1.436651E+1
5.700000E-8,1.432319E+1
5.710000E-8,1.427989E+1
5.720000E-8,1.423665E+1
5.730000E-8,1.419348E+1
5.740000E-8,1.415042E+1
5.750000E-8,1.410748E+1
5.760000E-8,1.406469E+1
5.770000E-8,1.402208E+1
5.780000E-8,1.397967E+1
5.790000E-8,1.393747E+1
5.800000E-8,1.389553E+1
5.810000E-8,1.385385E+1
5.820000E-8,1.381246E+1
5.830000E-8,1.377138E+1
5.840000E-8,1.373063E+1
5.850000E-8,1.369024E+1
5.860000E-8,1.365022E+1
5.870000E-8,1.361059E+1
5.880000E-8,1.357138E+1
5.890000E-8,1.353260E+1
5.900000E-8,1.349428E+1
5.910000E-8,1.345642E+1
5.920000E-8,1.341905E+1
5.930000E-8,1.338218E+1
5.940000E-8,1.334583E+1
5.950000E-8,1.331002E+1
5.960000E-8,1.327476E+1
5.970000E-8,1.324006E+1
5.980000E-8,1.320595E+1
5.990000E-8,1.317242E+1
6.000000E-8,1.313951E+1
6.010000E-8,1.310721E+1
6.020000E-8,1.307554E+1
6.030000E-8,1.304450E+1
6.040000E-8,1.301412E+1
6.050000E-8,1.298440E+1
6.060000E-8,1.295534E+1
6.070000E-8,1.292695E+1
6.080000E-8,1.289925E+1
6.090000E-8,1.287224E+1
6.100000E-8,1.284592E+1
6.110000E-8,1.282030E+1
6.120000E-8,1.279538E+1
6.130000E-8,1.277117E+1
6.140000E-8,1.274767E+1
6.150000E-8,1.272489E+1
6.160000E-8,1.270282E+1
6.170000E-8,1.268148E+1
6.180000E-8,1.266085E+1
6.190000E-8,1.264095E+1
6.200000E-8,1.262177E+1
6.210000E-8,1.260331E+1
6.220000E-8,1.258557E+1
6.230000E-8,1.256856E+1
6.240000E-8,1.255228E+1
