Time,Ch2
6.92E-08,-0.1089965
6.93E-08,-0.1089209
6.94E-08,-0.1088462
6.95E-08,-0.1087724
6.96E-08,-0.1086994
6.97E-08,-0.1086274
6.98E-08,-0.1085564
6.99E-08,-0.1084864
0.00000007,-0.1084175
7.01E-08,-0.1083496
7.02E-08,-0.108283
7.03E-08,-0.1082175
7.04E-08,-0.1081532
7.05E-08,-0.1080903
7.06E-08,-0.1080286
7.07E-08,-0.1079683
7.08E-08,-0.1079094
7.09E-08,-0.1078519
0.000000071,-0.1077959
7.11E-08,-0.1077414
7.12E-08,-0.1076884
7.13E-08,-0.1076371
7.14E-08,-0.1075873
7.15E-08,-0.1075392
7.16E-08,-0.1074929
7.17E-08,-0.1074482
7.18E-08,-0.1074053
7.19E-08,-0.1073642
0.000000072,-0.107325
7.21E-08,-0.1072876
7.22E-08,-0.107252
7.23E-08,-0.1072184
7.24E-08,-0.1071868
7.25E-08,-0.1071571
7.26E-08,-0.1071294
7.27E-08,-0.1071038
7.28E-08,-0.1070802
7.29E-08,-0.1070586
0.000000073,-0.1070392
7.31E-08,-0.1070218
7.32E-08,-0.1070066
7.33E-08,-0.1069934
7.34E-08,-0.1069825
7.35E-08,-0.1069736
7.36E-08,-0.106967
7.37E-08,-0.1069625
7.38E-08,-0.1069602
7.39E-08,-0.1069601
0.000000074,-0.1069621
7.41E-08,-0.1069663
7.42E-08,-0.1069727
7.43E-08,-0.1069813
7.44E-08,-0.106992
7.45E-08,-0.1070049
7.46E-08,-0.10702
7.47E-08,-0.1070371
7.48E-08,-0.1070564
7.49E-08,-0.1070778
0.000000075,-0.1071013
7.51E-08,-0.1071268
7.52E-08,-0.1071543
7.53E-08,-0.1071839
7.54E-08,-0.1072154
7.55E-08,-0.1072489
7.56E-08,-0.1072843
7.57E-08,-0.1073215
7.58E-08,-0.1073607
7.59E-08,-0.1074016
0.000000076,-0.1074443
7.61E-08,-0.1074888
7.62E-08,-0.1075349
7.63E-08,-0.1075827
7.64E-08,-0.1076321
7.65E-08,-0.107683
7.66E-08,-0.1077355
7.67E-08,-0.1077894
7.68E-08,-0.1078447
7.69E-08,-0.1079014
0.000000077,-0.1079594
7.71E-08,-0.1080186
7.72E-08,-0.1080791
7.73E-08,-0.1081406
7.74E-08,-0.1082032
7.75E-08,-0.1082669
7.76E-08,-0.1083315
7.77E-08,-0.108397
7.78E-08,-0.1084633
7.79E-08,-0.1085304
0.000000078,-0.1085982
7.81E-08,-0.1086666
7.82E-08,-0.1087356
7.83E-08,-0.1088051
7.84E-08,-0.1088751
7.85E-08,-0.1089454
7.86E-08,-0.109016
7.87E-08,-0.1090869
7.88E-08,-0.1091579
7.89E-08,-0.1092291
0.000000079,-0.1093002
7.91E-08,-0.1093714
7.92E-08,-0.1094424
7.93E-08,-0.1095133
7.94E-08,-0.1095839
7.95E-08,-0.1096542
7.96E-08,-0.1097241
7.97E-08,-0.1097936
7.98E-08,-0.1098625
7.99E-08,-0.1099309
0.00000008,-0.1099987
8.01E-08,-0.1100657
8.02E-08,-0.110132
8.03E-08,-0.1101974
8.04E-08,-0.110262
8.05E-08,-0.1103256
8.06E-08,-0.1103882
8.07E-08,-0.1104497
8.08E-08,-0.1105101
8.09E-08,-0.1105693
0.000000081,-0.1106274
8.11E-08,-0.1106841
8.12E-08,-0.1107395
8.13E-08,-0.1107936
8.14E-08,-0.1108463
8.15E-08,-0.1108975
8.16E-08,-0.1109472
8.17E-08,-0.1109955
8.18E-08,-0.1110421
8.19E-08,-0.1110872
0.000000082,-0.1111307
8.21E-08,-0.1111726
8.22E-08,-0.1112128
8.23E-08,-0.1112513
8.24E-08,-0.1112881
8.25E-08,-0.1113232
8.26E-08,-0.1113566
8.27E-08,-0.1113882
8.28E-08,-0.1114182
8.29E-08,-0.1114464
0.000000083,-0.1114728
8.31E-08,-0.1114975
8.32E-08,-0.1115205
8.33E-08,-0.1115418
8.34E-08,-0.1115613
8.35E-08,-0.1115792
8.36E-08,-0.1115954
8.37E-08,-0.11161
8.38E-08,-0.1116229
8.39E-08,-0.1116343
0.000000084,-0.1116441
8.41E-08,-0.1116523
8.42E-08,-0.1116591
8.43E-08,-0.1116644
8.44E-08,-0.1116683
8.45E-08,-0.1116709
8.46E-08,-0.1116721
8.47E-08,-0.1116721
8.48E-08,-0.1116708
8.49E-08,-0.1116684
0.000000085,-0.1116649
8.51E-08,-0.1116604
8.52E-08,-0.1116548
8.53E-08,-0.1116484
8.54E-08,-0.1116411
8.55E-08,-0.111633
8.56E-08,-0.1116242
8.57E-08,-0.1116147
8.58E-08,-0.1116047
8.59E-08,-0.1115941
0.000000086,-0.1115831
8.61E-08,-0.1115718
8.62E-08,-0.1115601
8.63E-08,-0.1115483
8.64E-08,-0.1115363
8.65E-08,-0.1115242
8.66E-08,-0.1115121
8.67E-08,-0.1115001
8.68E-08,-0.1114883
8.69E-08,-0.1114767
0.000000087,-0.1114654
8.71E-08,-0.1114546
8.72E-08,-0.1114441
8.73E-08,-0.1114342
8.74E-08,-0.111425
8.75E-08,-0.1114164
8.76E-08,-0.1114085
8.77E-08,-0.1114015
8.78E-08,-0.1113954
8.79E-08,-0.1113903
0.000000088,-0.1113862
8.81E-08,-0.1113831
8.82E-08,-0.1113813
8.83E-08,-0.1113806
8.84E-08,-0.1113812
8.85E-08,-0.1113832
8.86E-08,-0.1113865
8.87E-08,-0.1113913
8.88E-08,-0.1113976
8.89E-08,-0.1114054
0.000000089,-0.1114148
8.91E-08,-0.1114258
8.92E-08,-0.1114385
8.93E-08,-0.1114529
8.94E-08,-0.111469
8.95E-08,-0.1114869
8.96E-08,-0.1115067
8.97E-08,-0.1115282
8.98E-08,-0.1115516
8.99E-08,-0.1115769
0.00000009,-0.1116041
9.01E-08,-0.1116332
9.02E-08,-0.1116642
9.03E-08,-0.1116972
9.04E-08,-0.1117322
9.05E-08,-0.1117691
9.06E-08,-0.1118079
9.07E-08,-0.1118487
9.08E-08,-0.1118915
9.09E-08,-0.1119362
0.000000091,-0.1119829
9.11E-08,-0.1120314
9.12E-08,-0.1120819
9.13E-08,-0.1121343
9.14E-08,-0.1121886
9.15E-08,-0.1122447
9.16E-08,-0.1123027
9.17E-08,-0.1123624
9.18E-08,-0.1124239
9.19E-08,-0.1124872
0.000000092,-0.1125521
9.21E-08,-0.1126187
9.22E-08,-0.112687
9.23E-08,-0.1127568
9.24E-08,-0.1128282
9.25E-08,-0.1129011
9.26E-08,-0.1129754
9.27E-08,-0.1130512
9.28E-08,-0.1131283
9.29E-08,-0.1132067
0.000000093,-0.1132864
9.31E-08,-0.1133673
9.32E-08,-0.1134493
9.33E-08,-0.1135325
9.34E-08,-0.1136166
9.35E-08,-0.1137018
9.36E-08,-0.1137879
9.37E-08,-0.1138748
9.38E-08,-0.1139626
9.39E-08,-0.1140511
0.000000094,-0.1141402
9.41E-08,-0.11423
9.42E-08,-0.1143204
9.43E-08,-0.1144112
9.44E-08,-0.1145025
9.45E-08,-0.1145941
9.46E-08,-0.1146861
9.47E-08,-0.1147783
9.48E-08,-0.1148706
9.49E-08,-0.1149631
0.000000095,-0.1150557
9.51E-08,-0.1151482
9.52E-08,-0.1152407
9.53E-08,-0.115333
9.54E-08,-0.1154251
9.55E-08,-0.1155171
9.56E-08,-0.1156087
9.57E-08,-0.1156999
9.58E-08,-0.1157907
9.59E-08,-0.1158811
0.000000096,-0.115971
9.61E-08,-0.1160602
9.62E-08,-0.1161489
9.63E-08,-0.1162368
9.64E-08,-0.1163241
9.65E-08,-0.1164106
9.66E-08,-0.1164962
9.67E-08,-0.116581
9.68E-08,-0.1166649
9.69E-08,-0.1167478
0.000000097,-0.1168297
9.71E-08,-0.1169106
9.72E-08,-0.1169904
9.73E-08,-0.1170691
9.74E-08,-0.1171466
9.75E-08,-0.117223
9.76E-08,-0.1172982
9.77E-08,-0.1173721
9.78E-08,-0.1174447
9.79E-08,-0.117516
0.000000098,-0.117586
9.81E-08,-0.1176546
9.82E-08,-0.1177219
9.83E-08,-0.1177878
9.84E-08,-0.1178522
9.85E-08,-0.1179153
9.86E-08,-0.1179768
9.87E-08,-0.118037
9.88E-08,-0.1180956
9.89E-08,-0.1181528
0.000000099,-0.1182084
9.91E-08,-0.1182626
9.92E-08,-0.1183153
9.93E-08,-0.1183664
9.94E-08,-0.1184161
9.95E-08,-0.1184642
9.96E-08,-0.1185109
9.97E-08,-0.118556
9.98E-08,-0.1185997
9.99E-08,-0.1186418
0.0000001,-0.1186825
1.001E-07,-0.1187217
1.002E-07,-0.1187595
1.003E-07,-0.1187958
1.004E-07,-0.1188307
